author,book_format,date_published,description,genres,goodreads_url,isbn,language,pages,publisher,rating_average,rating_count,settings,title
John Green,Paperback,September 22nd 2009,"Who is the real Margo?Quentin Jacobsen has spent a lifetime loving the magnificently adventurous Margo Roth Spiegelman from afar. So when she cracks open a window and climbs into his life—dressed like a ninja and summoning him for an ingenious campaign of revenge—he follows. After their all-nighter ends, and a new day breaks, Q arrives at school to discover that Margo, always an enigma, has now become a mystery. But Q soon learns that there are clues—and they're for him. Urged down a disconnected path, the closer he gets, the less Q sees the girl he thought he knew...","['Young Adult Contemporary', 'Contemporary', 'Adventure', 'Mystery', 'Teen', 'Realistic Fiction', 'Young Adult', 'Coming Of Age', 'Fiction', 'Romance']",https://www.goodreads.com/book/show/6442769-paper-towns,9780142414934,English,305,Speak,3.78,981216,['United States'],Paper Towns
Jonathan Safran Foer,Paperback,April 4th 2006,"Nine-year-old Oskar Schell is an inventor, amateur entomologist, Francophile, letter writer, pacifist, natural historian, percussionist, romantic, Great Explorer, jeweller, detective, vegan, and collector of butterflies. When his father is killed in the September 11th attacks on the World Trade Centre, Oskar sets out to solve the mystery of a key he discovers in his father's closet. It is a search which leads him into the lives of strangers, through the five boroughs of New York, into history, to the bombings of Dresden and Hiroshima, and on an inward journey which brings him ever closer to some kind of peace.","['Contemporary', 'Adult', 'Novels', 'Historical Fiction', 'Young Adult', 'Historical', 'Fiction', 'Literature', 'New York', 'Adult Fiction', 'Literary Fiction']",https://www.goodreads.com/book/show/4588.Extremely_Loud_Incredibly_Close,9780618711659,English,326,Mariner Books,3.97,389696,"['United States', 'Germany']",Extremely Loud & Incredibly Close
Michel Faber,Paperback,May 3rd 2004,"Isserley picks up hitchhikers with big muscles. She, herself, is tiny-like a kid peering up over the steering wheel. She has a remarkable face and wears the thickest corrective lenses anyone has ever seen. Her posture is suggestive of some spinal problem. Her breasts are perfect; perhaps implants. She is strangely erotic yet somehow grotesque, vulnerable yet threatening. Her hitchhikers are a mixed bunch of men-trailer trash and travelling postgrads, thugs and philosophers. But Isserley is only interested in whether they have families and whether they have muscles. Then, it's only a question of how long she can endure her pain--physical and spiritual--and their conversation. Michel Faber's work has been described as a combination of Roald Dahl and Franz Kafka, as Somerset Maugham shacking up with Ian McEwan. At once humane and horrifying, Under the Skin takes us on a heart-thumping ride through dangerous territory - our own moral instincts and the boundaries of compassion.","['Contemporary', 'Thriller', 'Mystery', 'Scotland', 'Novels', 'Horror', 'Science Fiction', 'Fantasy', 'Cultural', 'Fiction', 'Science Fiction Fantasy']",https://www.goodreads.com/book/show/123063.Under_the_Skin,9781841954806,English,296,Canongate Books Ltd,3.73,21775,[],Under the Skin
Chris Bohjalian,Paperback,March 14th 2000,"From the number one bestselling author of Midwives comes this riveting medical thriller about a lawyer, a homeopath, and a tragic death.  When one of homeopath Carissa Lake's patients falls into an allergy-induced coma, possibly due to her prescribed remedy, Leland Fowler's office starts investigating the case. But Leland is also one of Carissa's patients, and he is beginning to realize that he has fallen in love with her. As love and legal obligations collide, Leland comes face-to-face with an ethical dilemma of enormous proportions.  Graceful, intelligent, and suspenseful, The Law of Similars is a powerful examination of the links between hope and hubris, love and deception.","['Contemporary', 'Adult', 'Mystery', 'Novels', 'Medical', 'Homeopathy', 'Fiction', 'Drama', 'Pseudoscience', 'Adult Fiction', 'Literary Fiction']",https://www.goodreads.com/book/show/126812.The_Law_of_Similars,9780679771470,English,324,Vintage,3.65,7493,,The Law of Similars
Linda Howard,Mass Market Paperback,July 1st 2003,"What would make the perfect man?  That's the deliciously racy topic that Jaine Bright and her three girlfriends are pondering one night at their favorite after-hours hot spot: Mr. Perfect. Would he be tall, dark, and handsome? Caring and warmhearted -- or will just muscular do? As their conversation heats up, they concoct a tongue-in-cheek checklist that becomes an overnight sensation, spreading like wildfire at work and sizzling along e-mail lines. But what began as a joke among friends turns deadly serious when one of the four women is murdered....Turning to her neighbor, an unpredictable police detective, for help, Jaine must unmask a killer to save her friends -- and herself. Now, knowing whom to trust and whom to love is a matter of survival -- as the dream of Mr. Perfect becomes a chilling nightmare.","['Romantic Suspense', 'Contemporary', 'Thriller', 'Mystery', 'Contemporary Romance', 'Womens Fiction', 'Suspense', 'Humor', 'Fiction', 'Chick Lit', 'Romance']",https://www.goodreads.com/book/show/469901.Mr_Perfect,9780743482882,English,405,Pocket Books,4.06,32189,['United States'],Mr. Perfect
Khaled Hosseini,Hardcover,June 1st 2007,"A Thousand Splendid Suns is a breathtaking story set against the volatile events of Afghanistan's last thirty years - from the Soviet invasion to the reign of the Taliban to post-Taliban rebuilding - that puts the violence, fear, hope, and faith of this country in intimate, human terms. It is a tale of two generations of characters brought jarringly together by the tragic sweep of war, where personal lives - the struggle to survive, raise a family, find happiness - are inextricable from the history playing out around them.Propelled by the same storytelling instinct that made The Kite Runner a beloved classic, A Thousand Splendid Suns is at once a remarkable chronicle of three decades of Afghan history and a deeply moving account of family and friendship. It is a striking, heart-wrenching novel of an unforgiving time, an unlikely friendship, and an indestructible love - a stunning accomplishment.--front flap","['Contemporary', 'Adult', 'Novels', 'War', 'Historical Fiction', 'Historical', 'Drama', 'Fiction', 'Literature', 'Adult Fiction']",https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns,9781594489501,English,372,Riverhead Books,4.38,1202016,['Afghanistan'],A Thousand Splendid Suns
Suzanne Collins,Hardcover,September 1st 2009,"Sparks are igniting.Flames are spreading.And the Capitol wants revenge. Against all odds, Katniss Everdeen has won the Hunger Games. She and fellow District 12 tribute Peeta Mellark are miraculously still alive. Katniss should be relieved, happy even. After all, she has returned to her family and her longtime friend, Gale. Yet nothing is the way Katniss wishes it to be. Gale holds her at an icy distance. Peeta has turned his back on her completely. And there are whispers of a rebellion against the Capitol—a rebellion that Katniss and Peeta may have helped create. Much to her shock, Katniss has fueled an unrest that she's afraid she cannot stop. And what scares her even more is that she's not entirely convinced she should try. As time draws near for Katniss and Peeta to visit the districts on the Capitol's cruel Victory Tour, the stakes are higher than ever. If they can't prove, without a shadow of a doubt, that they are lost in their love for each other, the consequences will be horrifying.In Catching Fire, the second novel of the Hunger Games trilogy, Suzanne Collins continues the story of Katniss Everdeen, testing her more than ever before . . . and surprising readers at every turn.","['Adventure', 'Post Apocalyptic', 'Teen', 'Science Fiction', 'Fantasy', 'Dystopia', 'Young Adult', 'Fiction', 'Action', 'Apocalyptic', 'Romance']",https://www.goodreads.com/book/show/6148028-catching-fire,9780439023498,English,391,Scholastic Press,4.29,2645438,['United States'],Catching Fire
John Sandford,Paperback,June 1st 2004,"A Lucas Davenport thriller by internationally bestselling novelist John Sandford In life she was a high-profile model. In death she is the focus of a media firestorm that's demanding action from Lucas Davenport. Especially as one of his own men is a suspect in her murder. But when a series of bizarre, seemingly unrelated slayings rock the city, Davenport suspects a connection that runs deeper than anyone has imagined - one that leads to an ingenious killer more ruthless than anyone had feared...","['Audiobook', 'Thriller', 'Mystery', 'Crime', 'Detective', 'Mystery Thriller', 'Suspense', 'Murder Mystery', 'Emergency Services', 'Fiction', 'Police']",https://www.goodreads.com/book/show/6838.Easy_Prey,9780743484183,English,480,Simon & Schuster,4.08,15929,,Easy Prey
John Sandford,Paperback,October 1st 2001,"Before Lucas Davenport and the brilliant Prey novels, there was Kidd-artist, computer whiz, and professional criminal-and his sometime partner/sometime lover, LuEllen. The Army had left Kidd with a dislike for bureaucratic organization and the skills to do something about it, but it hadn't prepared him for the day a woman appeared at his door and told him that his colleague Jack Morrison had vanished, and that Kidd and his friends were the target of a national manhunt. It wasn't the official agencies that worried Kidd so much as the very dangerous men with the very different agenda that he suspected were acting behind the scenes. And he knew that unless he and LuEllen found what had really happened to Jack, and quickly-the next people to vanish might very well be themselves.Filled with the atmosphere, characters, and exceptional drama that have made Sandford one of the America's best-loved thriller writers, The Devil's Code is a masterpiece of suspense.","['Adult', 'Audiobook', 'Thriller', 'Mystery', 'Crime', 'Detective', 'Novels', 'Mystery Thriller', 'Suspense', 'Fiction']",https://www.goodreads.com/book/show/296960.The_Devil_s_Code,9780425179888,English,354,Berkley,3.91,6883,['United States'],The Devil's Code
Jim Butcher,Mass Market Paperback,January 9th 2001,"Harry Dresden--WizardLost Items Found. Paranormal Investigations. Consulting. Advice. Reasonable Rates. No Love Potions, Endless Purses, or Other Entertainment.Business has been slow. Okay, business has been dead. And not even of the undead variety. You would think Chicago would have a little more action for the only professional wizard in the phone book. But lately, Harry Dresden hasn't been able to dredge up any kind of work--magical or mundane.But just when it looks like he can't afford his next meal, a murder comes along that requires his particular brand of supernatural expertise.A brutally mutilated corpse. Strange-looking paw prints. A full moon. Take three guesses--and the first two don't count...","['Audiobook', 'Shapeshifters', 'Mystery', 'Urban Fantasy', 'Fantasy', 'Supernatural', 'Werewolves', 'Fiction', 'Science Fiction Fantasy', 'Magic', 'Paranormal']",https://www.goodreads.com/book/show/91477.Fool_Moon,9780451458124,English,401,Roc,4.0,171204,['United States'],Fool Moon
